Year,Make,Model,Used/New,Price,ConsumerRating,ConsumerReviews,Drivetrain,MinMPG,MaxMPG,FuelType,Mileage
2019,mercedes-benz,amge63s4matic,certified,106999,5.0,2,awd,15,23,gasoline,15113
2019,mercedes-benz,s-classs5604matic,used,71458,4.6,14,awd,17,27,gasoline,18022
2020,hyundai,santafesel2.4,used,30716,4.8,202,awd,21,27,gasoline,26693
2020,hyundai,elantrase,used,17995,4.8,134,fwd,30,40,gasoline,21368
2020,bmw,x3m40i,used,49995,4.9,51,awd,21,27,gasoline,11970
2019,volkswagen,golfr2.0tw/dcc&navigation,used,40500,4.8,16,awd,23,30,gasoline,32143
2018,land,roverrangeroverhse,used,52874,3.8,10,4wd,17,23,gasoline,84844
2019,mercedes-benz,s-classs5604matic,used,62995,4.6,14,awd,17,27,gasoline,35652
2018,bmw,430grancoupeixdrive,used,26975,4.9,24,awd,23,33,gasoline,39474
2018,bmw,430grancoupeixdrive,used,25975,4.9,24,awd,23,33,gasoline,42899
2019,mercedes-benz,gls4504matic,used,56287,5.0,10,awd,16,22,gasoline,33427
2018,bmw,430grancoupeixdrive,used,29995,4.9,24,awd,23,33,gasoline,45266
2011,lexus,ls460base,used,17899,5.0,26,awd,16,23,gasoline,130602
2016,gmc,yukondenali,used,38999,4.3,59,4wd,15,21,gasoline,36347
2020,mercedes-benz,glb250base,used,42492,4.1,32,fwd,23,30,gasoline,11140
2021,toyota,camryse,used,31998,4.8,69,fwd,28,39,gasoline,27521
2018,ford,edgesport,certified,33998,4.8,232,awd,17,24,gasoline,23046
2019,subaru,crosstrek2.0ipremium,used,28998,4.7,205,awd,27,33,gasoline,27911
2020,dodge,chargerscatpack,certified,49995,4.8,56,rwd,15,24,gasoline,24858
2020,dodge,chargerscatpack,used,40600,4.8,56,rwd,15,24,gasoline,21863
2021,subaru,crosstrekpremium,used,26000,4.8,78,awd,28,33,gasoline,7572
2018,subaru,crosstrek2.0ipremium,used,29998,4.8,343,awd,27,33,gasoline,8832
2018,subaru,crosstrek2.0ipremium,used,27998,4.8,343,awd,27,33,gasoline,70778
2021,toyota,4runnerlimited,certified,51931,4.9,42,4wd,16,19,gasoline,20606
2016,ford,f-150,used,25988,4.6,391,rwd,15,22,e85 flex fuel,135228
2019,audi,q52.0tpremium,used,35700,4.7,42,awd,22,27,gasoline,36644
2019,audi,q52.0tpremium,used,38884,4.7,42,awd,22,27,gasoline,21349
2012,audi,a52.0tpremium,used,14499,4.7,28,awd,21,29,gasoline,116693
2015,lexus,rcfbase,used,51950,4.9,15,rwd,16,25,gasoline,29597
